concept:name,time:timestamp,case:concept:name
Permit SUBMITTED by EMPLOYEE,2017-01-09 13:48:43+00:00,request for payment 73550
Permit SUBMITTED by EMPLOYEE,2017-01-09 13:48:43+00:00,request for payment 73552
Permit FINAL_APPROVED by SUPERVISOR,2017-01-09 13:48:55+00:00,request for payment 73550
Permit FINAL_APPROVED by SUPERVISOR,2017-01-09 13:48:55+00:00,request for payment 73552
Permit SUBMITTED by EMPLOYEE,2017-01-10 10:19:16+00:00,request for payment 76316
Permit APPROVED by SUPERVISOR,2017-01-10 10:19:23+00:00,request for payment 76316
Permit SUBMITTED by EMPLOYEE,2017-01-10 10:34:01+00:00,request for payment 73536
Permit APPROVED by SUPERVISOR,2017-01-10 10:34:09+00:00,request for payment 73536
Permit FINAL_APPROVED by DIRECTOR,2017-01-10 13:56:18+00:00,request for payment 76316
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 16:10:10+00:00,request for payment 185372
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 16:15:32+00:00,request for payment 185372
Permit SUBMITTED by EMPLOYEE,2017-01-11 11:36:23+00:00,request for payment 76195
Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 11:36:25+00:00,request for payment 76195
Permit SUBMITTED by EMPLOYEE,2017-01-11 12:30:51+00:00,request for payment 73737
Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 12:30:57+00:00,request for payment 73737
Permit SUBMITTED by EMPLOYEE,2017-01-11 12:48:46+00:00,request for payment 77107
Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 12:48:57+00:00,request for payment 77107
Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 13:20:06+00:00,request for payment 185391
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 13:20:52+00:00,request for payment 185391
Permit SUBMITTED by EMPLOYEE,2017-01-11 16:25:24+00:00,request for payment 76211
Permit SUBMITTED by EMPLOYEE,2017-01-11 16:25:24+00:00,request for payment 76213
Permit APPROVED by SUPERVISOR,2017-01-11 16:25:37+00:00,request for payment 76211
Permit APPROVED by SUPERVISOR,2017-01-11 16:25:37+00:00,request for payment 76213
Permit SUBMITTED by EMPLOYEE,2017-01-11 17:02:47+00:00,request for payment 77877
Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 17:04:54+00:00,request for payment 77877
Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40+00:00,request for payment 73536
Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40+00:00,request for payment 76211
Permit FINAL_APPROVED by DIRECTOR,2017-01-12 09:56:40+00:00,request for payment 76213
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 10:40:27+00:00,request for payment 73550
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 10:41:59+00:00,request for payment 73550
Request For Payment REJECTED by MISSING,2017-01-12 10:53:07+00:00,request for payment 73550
Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 10:23:25+00:00,request for payment 73536
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 10:24:18+00:00,request for payment 73536
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 08:09:35+00:00,request for payment 185377
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 08:10:17+00:00,request for payment 185377
