concept:name,time:timestamp,case:concept:name
Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 08:17:18+00:00,request for payment 148214
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 08:18:00+00:00,request for payment 148214
Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:30:48+00:00,request for payment 149290
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 09:31:42+00:00,request for payment 149290
Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:41:36+00:00,request for payment 149216
Request For Payment REJECTED by SUPERVISOR,2017-01-09 10:42:10+00:00,request for payment 149216
Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 12:21:51+00:00,request for payment 147886
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 12:23:17+00:00,request for payment 147886
Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 12:26:20+00:00,request for payment 149145
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 12:26:22+00:00,request for payment 149145
Request For Payment REJECTED by EMPLOYEE,2017-01-09 14:56:52+00:00,request for payment 149216
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 09:02:52+00:00,request for payment 149216
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 09:03:15+00:00,request for payment 149216
Request Payment,2017-01-10 09:52:03+00:00,request for payment 149290
Request For Payment REJECTED by MISSING,2017-01-10 11:42:32+00:00,request for payment 148214
Request Payment,2017-01-10 12:34:59+00:00,request for payment 149216
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 13:56:59+00:00,request for payment 147597
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 13:57:53+00:00,request for payment 147597
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:02:39+00:00,request for payment 149369
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:02:53+00:00,request for payment 149369
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:18:56+00:00,request for payment 148223
Request For Payment APPROVED by PRE_APPROVER,2017-01-10 14:19:04+00:00,request for payment 148223
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:26:13+00:00,request for payment 148223
Request Payment,2017-01-10 14:30:50+00:00,request for payment 148223
Request For Payment REJECTED by MISSING,2017-01-10 14:33:09+00:00,request for payment 149145
Request For Payment REJECTED by MISSING,2017-01-10 14:34:19+00:00,request for payment 147886
Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 16:19:05+00:00,request for payment 149830
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 08:54:26+00:00,request for payment 149830
Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 10:48:40+00:00,request for payment 148629
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 10:48:51+00:00,request for payment 148629
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 08:07:24+00:00,request for payment 147894
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 08:08:56+00:00,request for payment 147894
Request Payment,2017-01-12 09:04:27+00:00,request for payment 149830
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 10:12:33+00:00,request for payment 147898
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 10:12:51+00:00,request for payment 147898
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 10:38:27+00:00,request for payment 148633
Request For Payment APPROVED by PRE_APPROVER,2017-01-12 10:39:17+00:00,request for payment 148633
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 13:52:53+00:00,request for payment 149908
Request For Payment APPROVED by SUPERVISOR,2017-01-12 13:53:16+00:00,request for payment 149908
Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 15:48:17+00:00,request for payment 149294
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 15:48:22+00:00,request for payment 149294
Payment Handled,2017-01-12 16:31:32+00:00,request for payment 149290
Payment Handled,2017-01-12 16:31:32+00:00,request for payment 149216
Payment Handled,2017-01-12 16:31:32+00:00,request for payment 148223
_END_,2017-01-12 16:31:33+00:00,request for payment 149290
_END_,2017-01-12 16:31:33+00:00,request for payment 149216
_END_,2017-01-12 16:31:33+00:00,request for payment 148223
Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 08:36:06+00:00,request for payment 149913
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 08:36:18+00:00,request for payment 149913
Request Payment,2017-01-13 13:11:33+00:00,request for payment 149294
Request Payment,2017-01-13 13:12:38+00:00,request for payment 147898
Request Payment,2017-01-13 13:13:51+00:00,request for payment 147894
Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 17:30:34+00:00,request for payment 149223
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 17:30:54+00:00,request for payment 149223
Request For Payment SUBMITTED by EMPLOYEE,2017-01-14 11:04:31+00:00,request for payment 148883
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-14 11:06:14+00:00,request for payment 148883
Request For Payment REJECTED by MISSING,2017-01-16 08:52:47+00:00,request for payment 149913
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 09:08:48+00:00,request for payment 149913
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 09:09:07+00:00,request for payment 149913
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 09:23:48+00:00,request for payment 149158
Request For Payment APPROVED by PRE_APPROVER,2017-01-16 09:23:57+00:00,request for payment 149158
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 11:10:30+00:00,request for payment 148749
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 12:09:44+00:00,request for payment 148504
Request For Payment APPROVED by PRE_APPROVER,2017-01-16 12:09:50+00:00,request for payment 148504
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 12:53:32+00:00,request for payment 147938
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 12:56:33+00:00,request for payment 147938
Request Payment,2017-01-16 14:08:13+00:00,request for payment 147938
Request Payment,2017-01-16 14:08:50+00:00,request for payment 149223
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 15:18:33+00:00,request for payment 149660
Request For Payment APPROVED by PRE_APPROVER,2017-01-16 15:19:49+00:00,request for payment 149660
Payment Handled,2017-01-16 16:32:18+00:00,request for payment 149830
Payment Handled,2017-01-16 16:32:18+00:00,request for payment 147894
Payment Handled,2017-01-16 16:32:18+00:00,request for payment 147898
Payment Handled,2017-01-16 16:32:18+00:00,request for payment 149294
_END_,2017-01-16 16:32:19+00:00,request for payment 149830
_END_,2017-01-16 16:32:19+00:00,request for payment 147894
_END_,2017-01-16 16:32:19+00:00,request for payment 147898
_END_,2017-01-16 16:32:19+00:00,request for payment 149294
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 09:35:54+00:00,request for payment 147746
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 09:40:02+00:00,request for payment 147746
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 09:42:06+00:00,request for payment 148633
Request For Payment FINAL_APPROVED by DIRECTOR,2017-01-17 09:47:38+00:00,request for payment 149908
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:23:58+00:00,request for payment 149660
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 11:03:11+00:00,request for payment 149154
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 11:03:30+00:00,request for payment 149154
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 12:20:46+00:00,request for payment 147902
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 12:34:53+00:00,request for payment 147902
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 12:54:58+00:00,request for payment 149163
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 12:57:08+00:00,request for payment 149163
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 13:52:11+00:00,request for payment 148147
Request For Payment APPROVED by PRE_APPROVER,2017-01-17 13:52:18+00:00,request for payment 148147
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:55:00+00:00,request for payment 148147
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 14:12:59+00:00,request for payment 147906
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 14:13:11+00:00,request for payment 147906
Request Payment,2017-01-17 14:34:01+00:00,request for payment 149908
Request Payment,2017-01-17 14:42:04+00:00,request for payment 148147
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 15:48:39+00:00,request for payment 148887
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 15:48:58+00:00,request for payment 148887
Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 08:44:33+00:00,request for payment 148433
Request For Payment APPROVED by PRE_APPROVER,2017-01-18 08:44:39+00:00,request for payment 148433
Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 09:52:56+00:00,request for payment 147919
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 09:53:04+00:00,request for payment 147919
Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 10:26:40+00:00,request for payment 147911
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 10:26:45+00:00,request for payment 147911
Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 11:01:57+00:00,request for payment 149834
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 11:02:05+00:00,request for payment 149834
Request For Payment REJECTED by MISSING,2017-01-18 14:11:08+00:00,request for payment 149163
_END_,2017-01-18 14:11:09+00:00,request for payment 149163
Request Payment,2017-01-18 14:38:44+00:00,request for payment 149660
Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 21:05:48+00:00,request for payment 147915
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 21:08:33+00:00,request for payment 147915
Request Payment,2017-01-19 09:51:49+00:00,request for payment 148633
Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 13:52:01+00:00,request for payment 147942
Request For Payment APPROVED by PRE_APPROVER,2017-01-19 13:52:36+00:00,request for payment 147942
Request Payment,2017-01-19 14:24:36+00:00,request for payment 147906
Request Payment,2017-01-19 14:46:45+00:00,request for payment 147915
Request Payment,2017-01-19 14:48:14+00:00,request for payment 147911
